LC_File_Path	Period	Chi-square	Date
6050390227	9.8008	22217.63281	20112
6050390228	9.8007	18227.31055	20113
6050390229	9.7491	26926.69727	20114
6050390230	9.8005	21023.89453	20115
6050390231	9.8178	26067.50586	20116
6050390232	9.8004	74398.14844	20117
6050390233	9.8004	95401.53906	20118
6050390234	9.8003	90951.27344	20119
6050390235	9.8003	72547.89063	20120
6050390236	9.8002	47294.94922	20121
6050390237	9.8001	91447.90625	20122
6050390238	9.8	77485.0625	20123
6050390239	9.7999	43040.01953	20124
6050390240	9.7997	33475.31641	20125
6050390241	9.7992	17841.33203	20126
6050390242	9.7989	26532.90234	20127
6050390243	9.7988	35312.13672	20128
6050390244	9.7984	39549.58203	20130
6050390246	9.8263	13110.70996	20134
6050390247	9.7907	30848.11133	20140
6050390248	9.7963	80641.10156	20141
6050390249	9.7933	19606.26758	20142
6050390250	9.7982	34813.32813	20143
6050390251	9.8008	49666.31641	20144
6050390252	9.7958	51870.10547	20145
6050390253	9.7958	39595.42969	20146
6050390254	9.7957	58712.63281	20147
6050390255	9.7926	18660.13477	20168
6050390256	9.7925	44043.98438	20169
6050390257	9.7925	22871.27734	20170
6050390258	9.7925	19877.60352	20171
6050390259	9.7896	9608.956055	20172
6050390261	9.7925	17117.17969	20174
6050390262	9.7954	8450.600586	20175
6050390263	9.7922	5196.293945	20176
6050390264	9.794	4361.583008	20177
6050390265	9.7906	3063.364502	20179
6050390266	9.793	3662.927002	20181
6050390267	9.7924	3608.84082	20182
6050390268	9.7914	1509.375488	20183
6050390269	9.7921	1732.294312	20184
6050390270	9.792	1686.430786	20185
6050390272	9.792	2128.313965	20187
6050390276	9.7918	2875.97168	20192
6050390279	9.7918	1405.626709	20195
