LC_File_Path	Period	Chi-square	Date
6050390227	9.8008	21567.529296875	20112
6050390228	9.8007	19102.2265625	20113
6050390229	9.800600000000001	31955.076171875	20114
6050390230	9.800500000000001	20849.029296875	20115
6050390231	9.800400000000002	29042.080078125	20116
6050390232	9.800400000000002	69798.8125	20117
6050390233	9.800400000000002	90737.5859375	20118
6050390234	9.800300000000002	92500.7265625	20119
6050390235	9.800300000000002	66881.7421875	20120
6050390236	9.8002	48829.2421875	20121
6050390237	9.8001	92739.078125	20122
6050390238	9.8	80758.9140625	20123
6050390239	9.799900000000001	43033.1796875	20124
6050390240	9.799800000000001	37430.5625	20125
6050390241	9.7992	19218.376953125	20126
6050390242	9.799000000000001	26438.021484375	20127
6050390243	9.798800000000002	36914.16796875	20128
6050390244	9.7984	37688.90625	20130
6050390247	9.793500000000002	32255.158203125	20140
6050390248	9.7963	82789.6171875	20141
6050390249	9.790700000000001	21075.556640625	20142
6050390250	9.798200000000001	36761.05859375	20143
6050390251	9.795900000000001	50146.68359375	20144
6050390252	9.795800000000002	47135.2578125	20145
6050390253	9.8131	36897.82421875	20146
6050390254	9.795700000000002	60776.0859375	20147
6050390255	9.7926	20879.01171875	20168
6050390256	9.7926	44872.12109375	20169
6050390257	9.788200000000002	22303.2421875	20170
6050390258	9.7925	20604.00390625	20171
6050390259	9.786600000000002	9102.248046875	20172
6050390261	9.7925	17337.998046875	20174
6050390262	9.7925	8530.337890625	20175
6050390263	9.792200000000001	5557.8427734375	20176
6050390264	9.7926	3792.69091796875	20177
6050390265	9.792800000000002	3341.113525390625	20179
6050390266	9.7918	3959.010498046875	20181
6050390267	9.7924	3617.77783203125	20182
6050390268	9.792700000000002	1598.9930419921875	20183
6050390269	9.7878	1701.3623046875	20184
6050390270	9.792000000000002	1764.7677001953125	20185
6050390272	9.792000000000002	2079.725830078125	20187
6050390276	9.7918	2966.093017578125	20192
6050390279	9.7917	1387.63916015625	20195
