## 247 guess of 248 and 1e-5 the solution is second on the list with marginal loss of chi-sq
## 250 guess of 251 and 1e-5 the solution is second on the list with marginal loss of chi-sq
## 253 guess of 252 and 1e-5 
## 257 guess of 258 and 1e-5 the solution is second on the list with marginal loss of chi-sq
## 259 guess of 258 and 1e-6 there is other solution with marginally better chi-sq
## 269 guess of 279 and 1e-5 there is other solution with marginal loss of chi-sq
## drop 247 due to bad data and all others above due to uncertain period estimate
## initial from 9.80 guess and 1e-4 precision
## Drop all red colored ones for one experiment of bootstrap
## 264 error taken from bootstrap re run on corrected lc second runn
## Error taken from bootstrap_all_lc					
LC_File_Path	Period	Chi-square	Date	PErr	freq
6050390227	9.8008	21567.5293	20112	5.97E-06	102.0324871
6050390228	9.8007	19102.22656	20113	9.52E-06	102.0335282
6050390229	9.8006	31955.07617	20114	2.05E-06	102.0345693
6050390230	9.8005	20849.0293	20115	2.40E-05	102.0356104
6050390231	9.8004	29042.08008	20116	2.06E-05	102.0366516
6050390232	9.8004	69798.8125	20117	5.71E-06	102.0366516
6050390233	9.8004	90737.58594	20118	5.33E-06	102.0366516
6050390234	9.8003	92500.72656	20119	5.93E-06	102.0376927
6050390235	9.8003	66881.74219	20120	4.49E-06	102.0376927
6050390236	9.8002	48829.24219	20121	2.50E-05	102.0387339
6050390237	9.8001	92739.07813	20122	6.59E-06	102.0397751
6050390238	9.8	80758.91406	20123	4.29E-06	102.0408163
6050390239	9.7999	43033.17969	20124	4.12E-06	102.0418576
6050390240	9.7998	37430.5625	20125	2.35E-05	102.0428988
6050390241	9.7992	19218.37695	20126	1.91E-05	102.0491469
6050390242	9.799	26438.02148	20127	3.87E-05	102.0512297
6050390243	9.7988	36914.16797	20128	1.24E-05	102.0533127
6050390244	9.7984	37688.90625	20130	7.85E-06	102.0574788
6050390247	9.7964	32247.75	20140	6.02E-04	102.0783145
6050390248	9.7963	82789.61719	20141	7.51E-06	102.0793565
6050390251	9.7959	50146.68359	20144	3.92E-06	102.0835247
6050390252	9.7958	47135.25781	20145	6.50E-06	102.0845669
6050390254	9.7957	60776.08594	20147	4.00E-06	102.085609
6050390255	9.7926	20879.01172	20168	1.13E-05	102.1179258
6050390256	9.7926	44872.12109	20169	3.82E-06	102.1179258
6050390258	9.7925	20604.00391	20171	2.00E-06	102.1189686
6050390261	9.7925	17337.99805	20174	4.47E-07	102.1189686
6050390262	9.7925	8530.337891	20175	1.56E-05	102.1189686
6050390263	9.7922	5557.842773	20176	5.04E-04	102.1220972
6050390264	9.7926	3792.690918	20177	0.0005652959844188339	102.1179258
6050390265	9.7928	3341.113525	20179	8.06E-04	102.1158402
6050390266	9.7918	3959.010498	20181	3.75E-04	102.1262689
6050390267	9.7924	3617.777832	20182	1.76E-05	102.1200114
6050390270	9.792	1764.7677	20185	1.36E-05	102.124183
6050390272	9.792	2079.72583	20187	7.62E-05	102.124183
6050390276	9.7918	2966.093018	20192	2.78E-05	102.1262689
6050390279	9.7917	1387.63916	20195	6.17E-05	102.1273119
