ObsID,Period,Period_Error
6050390227,9.79906,6.19677e-06
6050390228,9.79837,1.08167e-05
6050390229,9.79811,2.14476e-06
6050390230,9.79753,2.31948e-05
6050390231,9.79731,1.94371e-05
6050390232,9.79718,5.81378e-06
6050390233,9.79712,5.19615e-06
6050390234,9.79722,6e-06
6050390235,9.79748,4.64758e-06
6050390236,9.79815,2.46049e-05
6050390237,9.79848,6.78233e-06
6050390238,9.79904,4e-06
6050390239,9.79969,4.09878e-06
6050390240,9.80045,2.22261e-05
6050390241,9.80093,1.89789e-05
6050390242,9.80115,3.95424e-05
6050390243,9.80129,1.27279e-05
6050390244,9.80094,8.33067e-06
6050390247,9.79166,0.000672849
6050390248,9.79375,7.57628e-06
6050390249,9.79108,0.000984579
6050390250,9.79439,0.000965279
6050390251,9.79253,3.37639e-06
6050390252,9.79233,6.64831e-06
6050390253,9.7923,1.43457e-05
6050390254,9.79244,4.02492e-06
6050390255,9.79018,1.17473e-05
6050390256,9.78981,4.24264e-06
6050390257,9.78504,6.63325e-06
6050390258,9.78906,2.19089e-06
6050390259,9.78796,0.00135062
6050390261,9.789,8.94427e-07
6050390262,9.78927,1.61741e-05
6050390263,9.78883,0.000508529
6050390264,9.79273,0.00139863
6050390265,9.79215,0.000779389
6050390266,9.79356,0.000443887
6050390267,9.79382,1.72163e-05
6050390268,9.79292,0.00147561
6050390269,9.79329,0.00277791
6050390270,9.79442,1.28297e-05
6050390272,9.79387,7.37455e-05
6050390276,9.79137,2.70961e-05
6050390279,9.78989,5.97779e-05
